编号,问题名称,故障现象,故障原因,纠正,纠正措施,故障原因分类,相似度
FRA001,报统计生成word格式报告时卡顿问题,报统计-统计数据量超过1万条，生成word格式报告时卡顿,报统计软件“任务统计”导出报告功能中，数据量大时，通过taskstaticwgt::slot_btn_exportall_clicked()函数中调用word生成字符串接口，由于word性能超出需求，等待时间较长，系统会出现卡顿现象,修改软件统计逻辑,修改报统计软件“任务统计”功能中的taskstaticwgt::slot_btn_exportall_clicked()函数，导出WORD文档时，限制导出的数据量，对于大量数据导出(大于100条时)，采用导出.csv表格方式,设计,0.3
FRA002,机报0211故障，外场更换8根电缆,收到外场LYG返回的8根电缆，外场报故0211故障代码。,"通过进一步排查，发现C5-4电缆中的S2芯和S4芯存在短路现象，将C5-4电缆拆下后，去除尼龙网套和屏蔽层，发现 C5-4电缆的S2芯和S4芯导线在钢带根部靠近扎线扣固定处有破损现象，由于导线破损同屏蔽层接触短路，导致方位旋变信号短路，LD报故0211故障。
C5-4电缆是方位旋变到天线座大盘后面大插座的连接电缆，为确保天线横滚运动时电缆能按既定轨迹运动，电缆通过线扣固定在走线钢带上。经观察，当天线运动到横滚极限角度120°时，钢带下端根部处电缆会有一个反向运动，致使电缆和钢带分离，而根部最后一个扎线扣正好在分离点附近，形成对电缆的约束拉力。当天线反复运动时，该点不断受到拉力作用，导致电缆故障。针对该问题已进行归零，并通过了归零评审。",外场已更换8根电缆，按新工艺要求走线和绑扎。,修改报统计软件“任务统计”功能中的taskstaticwgt::slot_btn_exportall_clicked()函数，导出WORD文档时，限制导出的数据量，对于大量数据导出(大于100条时)，采用导出.csv表格方式,设计,0.566
FRA003,某LD连续开发射拷机过程中X跟踪丢失、阵面接收电源异常掉电,产品在外场进行连续开发射拷机过程中，X出现跟踪丢失，A显无输出现象，BIT报DBF输入光纤中断和阵面第一象限接收电源异常掉电，系统后端控制和处理设备表现正常，系统重启后工作正常。连续发射拷机后，S进行阵面监测检查，发现接收新增17个故障通道。,操作不当导致双LD短基线场景下出现电磁互扰，同时未设置双相互发射屏蔽区，强电磁环境诱发设备故障。,上，对阵面高舱的舱门密封橡胶条换装具备导电特性的特种材料，提高舱体屏蔽防护性能，降低强辐射对舱内安装设备的影响。 2、系统设计上，规定双LD短基线工作在协同工作模式下，综合采用时序同步、空间分隔等方法来减少阵面间的干扰耦合，根据试验场景细化完善双协同探测操控细则并严格执行，保障设备安全和任务可靠性。 3、架设布站上，设计短基线场景对应主要观测方向，系统设计SLD阵面与XLD阵面连线与主要试验弹道平面成一定夹角布站，双天线阵面的间距尽可能拉大，两个阵面间距离取场强仿真计算的凹点，相距40m。 ,上，对阵面高舱的舱门密封橡胶条换装具备导电特性的特种材料，提高舱体屏蔽防护性能，降低强辐射对舱内安装设备的影响。 2、系统设计上，规定双LD短基线工作在协同工作模式下，综合采用时序同步、空间分隔等方法来减少阵面间的干扰耦合，根据试验场景细化完善双协同探测操控细则并严格执行，保障设备安全和任务可靠性。 3、架设布站上，设计短基线场景对应主要观测方向，系统设计SLD阵面与XLD阵面连线与主要试验弹道平面成一定夹角布站，双天线阵面的间距尽可能拉大，两个阵面间距离取场强仿真计算的凹点，相距40m。 ,设计,0.008
FRA004,LD所前端墙上控制服务器的显示器无信号,LD前端墙上控制服务器的显示器无信号（现场总体反馈是视输入线松动导致，请分析为何会松动，以及如何解决）,机柜增加风冷装置后会有轻微震动，而与控制服务器连接的电缆采用直插形式，无防松、紧固措施,由原来的DVI的视接口线改为两端都为HDMI高清视接口线。,,设计,0
FRA005,LD显控软件故障审理,"1、4个下屏前套有批号无扫描线
2、下屏背景地图只有1个台子显示地图轮廓线，另外3个不显示轮廓线
3、新加A显有个台子批号在丢失后没有自动消批
4、A显套圈偏小看不清楚
5、网络上有气象报文数据但气象没有显示","程序设计有缺陷，
用户个性化体验导致程序修改。","1、非显控软件原因
2、软件修改，修改浮点数的比较错误
3、软件修改，避免报文丢失
4、软件修改，采用大图标
5、软件修改，增加气象报文接收功能",,软件,0
FRA006,LD主控软件显示问题,主控界面有错别字（“经度”）；阵面波束监测检查波束画线无法显清。,"1、主控界面右上角副站站址数据，把“纬度”写成了“经度”，编码过程中复制经度数值造成；
2、阵面波束监测显示界面，清屏后仍有波束曲线显示，检查清屏按钮的响应函数，函数中对曲线显示控件进行了复位，但内存数据没有进行清除，导致实时刷新时，内存数据又显示出来。","1、修改主控程序，把汉字“经度”改成“纬度”；
2、修改清屏按钮响应函数，对曲线显示控件进行复位，相应内存数据进行清除；
3、重新编译程序，功能现场验证正确。",,软件,0
FRA007,启用声音告警后，存在有短促告警音（1-2声）但未观察到有模块报红的现象。,1.虚警处理，启用声音告警后，存在有短促告警音（1-2声）但未观察到有模块报红的现象。2.LD发射时间显示几万小时，与实际不符合。,1.设备bit报故了，但由于界面显示需要定时刷新，而声音告警为实时检测，所以可能会出现设备部不报故障而声音告警生效 2.软件需要控保bit的时间值作为时间累积的计时参考，而在切换控保时，控保bit在1~2秒内会有bit状态错误，导致时间参考值出错。,1.增加声音告警虚警逻辑，连续多帧bit为故障时才进行告警 2.增加发射机时间累加计算容错,1.增加声音告警虚警逻辑，连续多帧bit为故障时才进行告警2.增加发射机时间累加计算容错,软件,0
FRA008,阵面监测软件报故退出故障,产品在外场系统测试过程中，进行阵面监测功能测试，双同时进行阵面监测，主控台阵面监测软件报故退出,在S、XLD联网的情况下，各LD阵面监测软件同时收到两个LD的监测数据，未对数据来源进行判断区分，从而造成异常退出。,修改软件代码，软件总体在定义数据报文时，对来源不同LD的数据增加判断标志。阵面监测软件收到数据后，首先根据数据来源标志进行预处理，保留符合本LD的数据，剔除非本LD的数据。然后再对数据进行解析、显示、处理。,修改软件代码，软件总体在定义数据报文时，对来源不同LD的数据增加判断标志。阵面监测软件收到数据后，首先根据数据来源标志进行预处理，保留符合本LD的数据，剔除非本LD的数据。然后再对数据进行解析、显示、处理。,软件,0
FRA009,显示软件死机问题,出现显示软件死机问题,1.操作员进行误操作时，软件应进行容错。 2.软件编码本身存在bug。 3.算法缺陷,10月已解决最终死机问题。通过大量具有实时数据的态势操作后，定位到程序死锁的原因：在特殊位置的航迹层线绘制时因算法缺陷会产生死循环，造成死锁白屏。修改算法并举一反三。,不知道,软件,0
FRA010,航行试验期间副1台Vxworks软件死机,LD没加激励正常搜索跟踪中副1台下屏P显软件界面卡死，鼠标不动，扫描线正常，左下字符区的时间停止不动，其它台位工作正常。,软件绘图架构需优化，内网接收报文内存泄露。与2017年11月份显控软件vxWorks死机类似，此次报的死机，我们作为一个问题来处理，于2018年9月最终完成问题定位与整改，新的版本9月7日入了受控库(版本1.0.7)，正准备提交归零,组织专家来协同攻关，分析机理，采取新的办法来修改绘图架构，采用testbed/cobot测试工具进行测试，发现隐藏问题,组织专家来协同攻关，分析机理，初步采用去除winLock，用其他信号量替换，降低态势任务优先级，针对testBed，cobot测试结果来完成修改,软件,0
